==============================
   Omega Wholesale Sdn Bhd (OWSB)
==============================
         STOCK REPORT
==============================
Generated: 2025-05-21 15:39:57
Generated by: OW052 c

Total Items: 302
Total Stock: 22237

------------------------------
Low Stock (0-9)
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
ITM014       Spinach            SUP032       8        2025-04-15  
ITM110       Carrot             SUP023       1        2025-04-24  
ITM124       Herbs              SUP061       8        2025-04-24  
ITM192       Bread              SUP087       0        2025-04-15  
ITM289       Banana             SUP022       0        2025-04-24  

------------------------------
Stock 10-19
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
ITM117       Tomato             SUP077       12       2025-04-21  
ITM253       Orange             SUP047       19       2025-04-25  
ITM263       Juice              SUP033       12       2025-04-24  
ITM265       Cucumber           SUP045       12       2025-04-25  
ITM271       Apple              SUP079       10       2025-04-22  
ITM273       Cucumber           SUP063       12       2025-04-18  
ITM282       Yogurt             SUP075       15       2025-04-20  
ITM290       Fish               SUP054       16       2025-04-24  
ITM292       Herbs              SUP010       19       2025-04-15  

------------------------------
Stock 20-49
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
ITM001       Cheese             SUP097       25       2025-04-21  
ITM260       Butter             SUP024       21       2025-04-18  
ITM261       Lettuce            SUP069       33       2025-04-19  
ITM266       Apple              SUP091       31       2025-04-24  
ITM267       Cheese             SUP012       36       2025-04-15  
ITM268       Milk               SUP088       25       2025-04-25  
ITM269       Spinach            SUP016       26       2025-04-23  
ITM270       Cucumber           SUP100       30       2025-04-21  
ITM278       Herbs              SUP060       32       2025-04-15  
ITM286       Butter             SUP030       23       2025-04-19  
ITM287       Oil                SUP017       23       2025-04-25  
ITM295       Pastry             SUP019       25       2025-04-25  
ITM296       Milk               SUP095       37       2025-04-15  
ITM300       Apple              SUP098       46       2025-04-18  

------------------------------
Stock 50-99
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
ITM002       Lettuce            SUP086       78       2025-04-23  
ITM003       Orange             SUP089       92       2025-04-16  
ITM004       Herbs              SUP019       88       2025-04-18  
ITM005       Cheese             SUP056       95       2025-04-20  
ITM006       Butter             SUP092       82       2025-04-18  
ITM007       Yogurt             SUP004       99       2025-05-20  
ITM008       Spinach            SUP022       87       2025-04-25  
ITM009       Cheese             SUP053       84       2025-04-17  
ITM010       Apple              SUP049       79       2025-04-16  
ITM011       Cheese             SUP079       76       2025-04-21  
ITM012       Yogurt             SUP032       83       2025-04-15  
ITM013       Cheese             SUP014       75       2025-04-24  
ITM015       Tomato             SUP056       93       2025-04-24  
ITM016       Lettuce            SUP078       81       2025-04-17  
ITM017       Herbs              SUP061       77       2025-04-22  
ITM018       Butter             SUP007       86       2025-04-17  
ITM019       Pastry             SUP042       94       2025-04-21  
ITM020       Fish               SUP084       90       2025-04-22  
ITM021       Herbs              SUP045       88       2025-04-17  
ITM022       Butter             SUP031       91       2025-04-19  
ITM023       Yogurt             SUP045       72       2025-04-21  
ITM024       Carrot             SUP099       80       2025-04-24  
ITM025       Rice               SUP021       68       2025-04-21  
ITM026       Orange             SUP089       74       2025-04-20  
ITM027       Apple              SUP078       84       2025-04-22  
ITM028       Tomato             SUP007       67       2025-04-21  
ITM029       Cheese             SUP026       89       2025-04-17  
ITM030       Herbs              SUP025       73       2025-04-18  
ITM031       Rice               SUP081       71       2025-04-23  
ITM032       Orange             SUP096       75       2025-04-18  
ITM033       Juice              SUP016       82       2025-04-18  
ITM034       Apple              SUP027       74       2025-04-15  
ITM035       Cucumber           SUP003       72       2025-04-16  
ITM036       Pastry             SUP044       74       2025-04-24  
ITM037       Juice              SUP020       78       2025-04-16  
ITM038       Rice               SUP097       79       2025-04-20  
ITM039       Rice               SUP094       83       2025-04-18  
ITM040       Herbs              SUP090       87       2025-04-19  
ITM041       Orange             SUP067       90       2025-04-19  
ITM042       Yogurt             SUP100       84       2025-04-18  
ITM043       Banana             SUP041       80       2025-04-15  
ITM044       Bread              SUP088       74       2025-04-15  
ITM045       Butter             SUP099       82       2025-04-18  
ITM046       Yogurt             SUP008       76       2025-04-17  
ITM047       Herbs              SUP035       65       2025-04-18  
ITM048       Herbs              SUP018       77       2025-04-20  
ITM049       Orange             SUP030       83       2025-04-16  
ITM050       Lettuce            SUP090       71       2025-04-18  
ITM051       Spinach            SUP058       80       2025-04-25  
ITM052       Oil                SUP055       74       2025-04-25  
ITM053       Cucumber           SUP019       91       2025-04-23  
ITM054       Herbs              SUP006       93       2025-04-24  
ITM055       Fish               SUP010       66       2025-04-19  
ITM056       Lettuce            SUP053       71       2025-04-19  
ITM057       Herbs              SUP028       80       2025-04-16  
ITM058       Juice              SUP047       72       2025-04-25  
ITM059       Spinach            SUP049       87       2025-04-16  
ITM060       Juice              SUP092       80       2025-04-16  
ITM061       Oil                SUP006       69       2025-04-15  
ITM062       Bread              SUP020       86       2025-04-15  
ITM063       Fish               SUP076       96       2025-04-20  
ITM064       Apple              SUP072       69       2025-04-25  
ITM065       Lettuce            SUP022       92       2025-04-15  
ITM066       Yogurt             SUP022       73       2025-04-21  
ITM067       Herbs              SUP040       94       2025-04-16  
ITM068       Pastry             SUP005       76       2025-04-20  
ITM069       Pastry             SUP004       88       2025-04-22  
ITM070       Yogurt             SUP046       81       2025-04-22  
ITM071       Carrot             SUP025       67       2025-04-17  
ITM072       Yogurt             SUP055       71       2025-04-20  
ITM073       Rice               SUP003       64       2025-04-16  
ITM074       Herbs              SUP063       96       2025-04-15  
ITM075       Oil                SUP092       78       2025-04-19  
ITM076       Yogurt             SUP067       92       2025-04-24  
ITM077       Oil                SUP020       78       2025-04-24  
ITM078       Bread              SUP077       78       2025-04-23  
