==============================
   Omega Wholesale Sdn Bhd (OWSB)
==============================
         STOCK REPORT
==============================
Generated: 2025-05-22 18:39:37
Generated by: OW053 t

Total Items: 1000
Total Stock: 55757

------------------------------
Low Stock (0-9)
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
(None)

------------------------------
Stock 10-19
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
ITM005       Lettuce            SUP168       18       2025-04-22  
ITM027       Banana             SUP104       16       2025-05-18  
ITM033       Yogurt             SUP181       15       2025-05-11  
ITM035       Oil                SUP157       12       2025-05-05  
ITM042       Bread              SUP074       17       2025-05-05  
ITM046       Tomato             SUP046       10       2025-05-21  
ITM054       Bread              SUP183       13       2025-05-07  
ITM063       Lettuce            SUP080       16       2025-04-17  
ITM067       Cucumber           SUP031       14       2025-04-17  
ITM115       Butter             SUP123       13       2025-05-09  
ITM130       Onion              SUP119       15       2025-04-15  
ITM161       Spinach            SUP086       11       2025-05-24  
ITM163       Juice              SUP081       12       2025-05-01  
ITM173       Oil                SUP187       10       2025-04-28  
ITM177       Spinach            SUP123       18       2025-05-03  
ITM194       Orange             SUP074       17       2025-05-03  
ITM197       Fish               SUP097       17       2025-05-08  
ITM210       Rice               SUP073       19       2025-05-22  
ITM211       Cheese             SUP008       17       2025-04-26  
ITM212       Orange             SUP162       19       2025-04-27  
ITM213       Herbs              SUP044       12       2025-05-18  
ITM215       Butter             SUP146       19       2025-04-28  
ITM251       Fish               SUP056       19       2025-04-20  
ITM280       Herbs              SUP091       10       2025-05-25  
ITM288       Pastry             SUP111       18       2025-04-23  
ITM306       Fish               SUP006       18       2025-04-24  
ITM318       Cucumber           SUP143       12       2025-05-14  
ITM320       Tomato             SUP108       15       2025-05-07  
ITM321       Juice              SUP084       18       2025-04-23  
ITM328       Lettuce            SUP190       18       2025-05-05  
ITM359       Tomato             SUP055       16       2025-04-27  
ITM363       Orange             SUP195       18       2025-05-12  
ITM368       Pastry             SUP134       14       2025-04-17  
ITM410       Apple              SUP115       10       2025-05-09  
ITM426       Yogurt             SUP099       16       2025-05-07  
ITM430       Herbs              SUP188       13       2025-04-29  
ITM447       Onion              SUP143       18       2025-04-16  
ITM465       Apple              SUP034       11       2025-05-04  
ITM489       Fish               SUP177       14       2025-05-01  
ITM491       Pastry             SUP043       10       2025-04-18  
ITM492       Bread              SUP128       19       2025-04-15  
ITM496       Orange             SUP175       14       2025-04-15  
ITM508       Oil                SUP009       12       2025-05-07  
ITM510       Pastry             SUP105       11       2025-04-22  
ITM518       Juice              SUP066       13       2025-04-22  
ITM532       Spinach            SUP104       19       2025-05-09  
ITM535       Onion              SUP082       10       2025-05-20  
ITM542       Spinach            SUP181       11       2025-05-03  
ITM544       Pastry             SUP021       18       2025-04-17  
ITM553       Apple              SUP182       13       2025-05-13  
ITM560       Spinach            SUP070       17       2025-05-12  
ITM589       Banana             SUP189       17       2025-04-16  
ITM592       Cucumber           SUP159       13       2025-05-19  
ITM618       Lettuce            SUP141       12       2025-05-10  
ITM635       Fish               SUP065       13       2025-05-01  
ITM644       Milk               SUP042       12       2025-05-03  
ITM690       Bread              SUP081       17       2025-05-24  
ITM710       Milk               SUP029       16       2025-05-21  
